Role,Role Key,Name,Email,Email Code,Phone Number,Location,State
Governor,1,Doug Ducey,engage@az.gov,1,602-542-4331,Arizona,AZ
Senator,2,Martha McSally,contact@mcsally.senate.gov,1,602-952-2410,Arizona,AZ
Senator,2,Kyrsten Sinema,https://www.sinema.senate.gov/contact-kyrsten,2,602-598-7327,Arizona,AZ
Mayor,1,Kate Gallego,mayor.gallego@phoenix.gov,1,602-262-7111,Phoenix,AZ
County Attorney,3,Allister Adel,https://www.maricopacountyattorney.org/formcenter/Contact-Us-4/County-Attorneys-Office-Contact-Form-43,2,602-506-3411,Phoenix,AZ
Representative,2,Ruben Gallego,gallegoforarizona@gmail.com,1,602-256-0551,Phoenix,AZ
Chief of Police,4,Jeri Williams,jeri.l.williams@phoenix.gov,1,602-262-6747,Phoenix,AZ
Mayor,1,Karen Goh,Mayor@bakersfieldcity.us,1,661-326-3770,Bakersfield,CA
District Attorney,3,Cynthia Zimmer,caomailbox@kerncounty.com,1,661-868-2340,Bakersfield,CA
Chief of Police,4,Greg Terry,bpdcommunity@bakersfieldpd.us,1,661-326-3800,Bakersfield,CA
Governor,1,Gavin Newsom,https://govapps.gov.ca.gov/gov40mail/,2,916-445-2841,California,CA
Senator,2,Dianne Feinstein,https://www.feinstein.senate.gov/public/index.cfm/e-mail-me,2,202-224-3841,California,CA
Senator,2,Kamala Harris,info@kamalaharris.org,1,202-224-3553,California,CA
Mayor,1,Eric Garcetti,mayor.helpdesk@lacity.org,1,213-978-0600,Los Angeles,CA
District Attorney,3,Jackie Lacey,info@jackielacey.com,1,213-974-3512,Los Angeles,CA
District Attorney,3,Jackie Lacey,info@da.lacounty.gov,1,213-974-3512,Los Angeles,CA
Representative,2,Jimmy Gomez,https://gomez.house.gov/contact/,2,202-225-6235,Los Angeles,CA
Chief of Police,4,Michel Moore,contact.lapdonline@gmail.com,1,877-275-5273,Los Angeles,CA
Mayor,1,Darrell Steinberg,MayorSteinberg@cityofsacramento.org,1,916-808-5300,Sacramento,CA
District Attorney,3,Anne Marie Schubert,daoffice@sacda.org,1,916-874-6218,Sacramento,CA
